BEZEICHNUNG;OEFFN_ZEIT;adress;LON;LAT;sea_level
Antidiskriminierungsstelle der Stadt Salzburg;;Kirchenstraße 34;13,0490926;47,8243887;
Bundesasylamt Salzburg;;Münchner Bundesstraße 202;12,9965633;47,8349081;413 m
Caritas Salzburg -  Grundversorgung;;Plainstraße 83;13,0402348;47,8176184;419 m
Caritas Salzburg - Flüchtlingshaus;Mo-Fr 08-12,14-17 Uhr;Plainstraße 83;13,0402348;47,8176184;419 m
Caritas Salzburg - Rechtsberatung für AsylwerberInnen;;Plainstraße 83;13,0402348;47,8176184;419 m
Caritas Salzburg - Rückkehrhilfe;;Plainstraße 83;13,0402348;47,8176184;419 m
Caritas Salzburg -  Sotiria - Krisenintervention und Psychotherapie für AsylwerberInnen;;Plainstraße 83;13,0402348;47,8176184;419 m
Clearing-House Salzburg – SOS Kinderdorf;;Schwanthalerstraße 43a;13,0796936;477845062;428 m  
Grundversorgungsstelle des Landes Salzburg;;Schießstattstraße 2;13,0345885;47,8114601;421 m
Integrationsbüro der Stadt Salzburg;Mo-Do 08.30-16-00, Fr. 08.30-12.00;Mirabellplatz 4;13,0416993;47,8054254;426 m
INTO Salzburg - Integrationshaus Diakonie Flüchtlingsdienst;;Lehener Straße 26;13,0251655;47,8112748;422 m
Migrationsstelle des Landes Salzburg;;Schießstattstraße 2;13,0345885;47,8114601;421 m
Österreichischer Integrationsfonds;Mo- Mi  8:30 - 16:30, Do 8:30 - 18:30, Fr 8:30-13:00 ;Ernst-Thun-Straße 6;12,536991;48,2449772;404 m
Plattform für Menschenrechte Salzburg;Mo-Fr 08-12 Uhr;Kirchenstraße 34;13,0490926;47,8243887;425 m
Talk Together  Verein Salzburg - Kommunikation & Kultur;;Eduard-Heinrich-Straße 1b/10;13,0714204;47,7805491;427 m
Verein Menschen.leben;;Laufenstraße 29;13,0243565;47,8210138;417 m
Verein Synbiose - Integrationsprojekt zusammenleben;;Ulrich-Schreier-Straße 3/5;13,0648481;47,787468;426 m
Verein VEBBAS;Mo-Do. 08.00-16.00, Fr 08.00-12.00;Linzer Bundesstraße 12 ;13,0651216;47,8101844;435 m
