Einrichtung;Adresse;Internet_Adresse;Kategorie;X;Y;Lat;Lon
Apotheke Am Schillerplatz;Landstraﬂe 70, 4020 Linz;;Beratung, Hilfe;71123;351611;48,29876435;14,29115481
Apotheke Auhof;Altenberger Straﬂe 40, 4040 Linz;;Beratung, Hilfe;73149;355530;48,33377292;14,31913445
Apotheke Barmherzige Br¸der;Herrenstraﬂe 33, 4020 Linz;;Beratung, Hilfe;70850;351781;48,30032346;14,28750417
Apotheke Bindermichl;Am Bindermichl 32, 4020 Linz;;Beratung, Hilfe;71248;348546;48,27119037;14,29232473
Apotheke Ebelsberg;Wiener Straﬂe 482, 4020 Linz;;Beratung, Hilfe;73957;345684;48,24514667;14,32831402
Apotheke Ennsfeld;Ennsfeldstraﬂe 11, 4030 Linz;;Beratung, Hilfe;74616;345471;48,24315452;14,33714814
Apotheke Kleinm¸nchen;Daupinestraﬂe 62, 4030 Linz;;Beratung, Hilfe;72690;346611;48,25362804;14,31141598
Apotheke Lentia;Hauptstraﬂe 54, 4040 Linz;;Beratung, Hilfe;70383;353300;48,31403395;14,28146275
Apotheke Rosenauer;Freist‰dter Straﬂe 41, 4040 Linz;;Beratung, Hilfe;70594;353797;48,31847946;14,28438993
Apotheke solarCity;Lunaplatz 1, 4030 Linz;;Beratung, Hilfe;76280;347124;48,25782061;14,35984466
Apotheke Wegscheid;Helmholtzstraﬂe 15, 4030 Linz;;Beratung, Hilfe;70817;346905;48,25648281;14,28624602
Apotheke Zur heiligen Hemma;W¸stenrotplatz 2-4,  4030 Linz;;Beratung, Hilfe;72469;346106;48,24911236;14,30835426
Apotheke Zur Mariahilf;Wiener Straﬂe 378 b, 4030 Linz;;Beratung, Hilfe;73416;347047;48,25746514;14,32126642
Apotheke Zum Schwarzen Adler;Landstraﬂe 16, 4020 Linz;;Beratung, Hilfe;70921;352116;48,3033278;14,28851706
Bahnhof-Apotheke;Volksgartenstraﬂe 26, 4020 Linz;;Beratung, Hilfe;71028;351254;48,2955649;14,28981476
B‰ren-Apotheke;Wegscheiderstraﬂe 3, 4030 Linz;;Beratung, Hilfe;70340;346590;48,25370325;14,27977097
Central-Apotheke;Mozartstraﬂe 1, 4020 Linz;;Beratung, Hilfe;71106;351876;48,30114909;14,29097015
Columbus-Apotheke;Vogelf‰ngerweg 15, 4030 Linz;;Beratung, Hilfe;71082;346294;48,25095922;14,28971213
Donau-Apotheke;Holzstraﬂe 15, 4020 Linz;;Beratung, Hilfe;72074;352908;48,31031954;14,30419129
Linden-Apotheke;Unionstraﬂe 84, 4020 Linz;;Beratung, Hilfe;70450;349564;48,28043298;14,2817453
Museum-Apotheke;Elisabethstraﬂe 1, 4020 Linz;;Beratung, Hilfe;71393;352370;48,30555886;14,29492123
nica-Apotheke;Krankenhausstraﬂe 1, 4020 Linz;;Beratung, Hilfe;71784;352017;48,3023407;14,30013138
Quirinus-Apotheke ;Saporoshjestraﬂe 3a, 4030 Linz;;Beratung, Hilfe;73390;346258;48,2503736;14,32078008
Resch-Apotheke;Rudolfstraﬂe 13, 4040 Linz;;Beratung, Hilfe;70330;352899;48,31043409;14,28068174
Sonnen-Apotheke;Franckstraﬂe 36, 4020 Linz;;Beratung, Hilfe;72606;351126;48,29423564;14,31105707
St. Isidor-Apotheke;Schiffmannstraﬂe 7, 4020 Linz;;Beratung, Hilfe;70458;347942;48,26584726;14,28158395
St. Magdalena-Apotheke;Haselgrabenweg 1, 4040 Linz;;Beratung, Hilfe;71600;355527;48,33392258;14,29824489
St. Markus-Apotheke;Leonfeldner Straﬂe 133, 4040 Linz;;Beratung, Hilfe;70995;355417;48,33300145;14,29006766
Stern-Apotheke;Knabenseminarstraﬂe 4, 4040 Linz;;Beratung, Hilfe;70311;353511;48,31593919;14,28052718
Wasser-Apotheke;Hauptplatz 8, 4020 Linz;;Beratung, Hilfe;70710;352486;48,30667829;14,28573501
