FID,ID,GEOMETRIE,STANDORTNAME,HOMEPAGE,BEMERKUNG
wlanhotspot.gisdb.21108,gisdb.21108,POINT (47.80208666428231 13.044696183497496),Salzburg surft Hotspot - BRICKS Music-Bar,http://www.salzburg-surft.at/hotspot-locations/bricks-music-bar/,Aufstelljahr: 2011
wlanhotspot.gisdb.21109,gisdb.21109,POINT (47.78330855822309 13.080045699456964),Salzburg surft Hotspot - BWS Aigen,http://www.salzburg-surft.at/hotspot-locations/bws-aigen/ ,Aufstelljahr: 2013
wlanhotspot.gisdb.21110,gisdb.21110,POINT (47.80891311800401 13.061969610720691),Salzburg surft Hotspot - BWS Gnigl,http://www.salzburg-surft.at/hotspot-locations/bws-gnig/,Aufstelljahr: 2013
wlanhotspot.gisdb.21111,gisdb.21111,POINT (47.82475165387156 13.045492617811695),Salzburg surft Hotspot - BWS Itzling,http://www.salzburg-surft.at/hotspot-locations/bws-itzling/,Aufstelljahr: 2013
wlanhotspot.gisdb.21112,gisdb.21112,POINT (47.788189707412734 13.07633640575754),Salzburg surft Hotspot - Cafe Dialog,http://www.salzburg-surft.at/hotspot-locations/cafe-dialog/,Aufstelljahr: 2013
wlanhotspot.gisdb.21114,gisdb.21114,POINT (47.78956567199874 13.035478347359131),Salzburg surft Hotspot - Freibad Leopoldskron,http://www.salzburg-surft.at/hotspot-locations/freibad-leopoldskron/,Aufstelljahr: 2012
wlanhotspot.gisdb.21115,gisdb.21115,POINT (47.77606246966332 13.071751307716475),Salzburg surft Hotspot - Gesundheitszentrum Sued,http://www.salzburg-surft.at/hotspot-locations/gsz-sued/,Aufstelljahr: 2013
wlanhotspot.gisdb.21116,gisdb.21116,POINT (47.81017702593366 13.030521686296531),Salzburg surft Hotspot - Inge-Morath-Platz,http://www.salzburg-surft.at/hotspot-locations/inge-morath-platz/,Aufstelljahr: 2013
wlanhotspot.gisdb.21117,gisdb.21117,POINT (47.80712622357241 13.066010187997676),Salzburg surft Hotspot - Jugendzentrum get2gether,http://www.salzburg-surft.at/hotspot-locations/juz-get2gether/,Aufstelljahr: 2012
wlanhotspot.gisdb.21118,gisdb.21118,POINT (47.80632504270535 13.046060483983911),Salzburg surft Hotspot - Jugendzentrum IGLU,http://www.salzburg-surft.at/hotspot-locations/juz-iglu/,Aufstelljahr: 2012
wlanhotspot.gisdb.21119,gisdb.21119,POINT (47.78790875216644 13.019630581864392),Salzburg surft Hotspot - Jugendzentrum KOMM,http://www.salzburg-surft.at/hotspot-locations/juz-komm/,Aufstelljahr: 2012
wlanhotspot.gisdb.21120,gisdb.21120,POINT (47.81463693761094 13.026230174761325),Salzburg surft Hotspot - Jugendzentrum Lehen,http://www.salzburg-surft.at/hotspot-locations/juz-lehen/,Aufstelljahr: 2012
wlanhotspot.gisdb.21121,gisdb.21121,POINT (47.81106329021125 13.006274636108788),Salzburg surft Hotspot - Jugendzentrum Taxham,http://www.salzburg-surft.at/hotspot-locations/juz-taxham/,Aufstelljahr: 2012
wlanhotspot.gisdb.21122,gisdb.21122,POINT (47.79704378324846 13.051839540152114),Salzburg surft Hotspot - Kajetanerplatz,http://www.salzburg-surft.at/hotspot-locations/kajetanerplatz/,Aufstelljahr: 2013
wlanhotspot.gisdb.21123,gisdb.21123,POINT (47.79691158787558 13.046628065352198),Salzburg surft Hotspot - Kapitelplatz,http://www.salzburg-surft.at/hotspot-locations/kapitelplatz/,Aufstelljahr: 2013
wlanhotspot.gisdb.21124,gisdb.21124,POINT (47.801704568083714 13.04214719528929),Salzburg surft Hotspot - Makartsteg,http://www.salzburg-surft.at/hotspot-locations/makartsteg/,Aufstelljahr: 2011
wlanhotspot.gisdb.21125,gisdb.21125,POINT (47.804564853462836 13.043145395240149),Salzburg surft Hotspot - Mirabellgarten,http://www.salzburg-surft.at/hotspot-locations/mirabellgarten/,Aufstelljahr: 2011
wlanhotspot.gisdb.21126,gisdb.21126,POINT (47.798688278267 13.047936761961587),Salzburg surft Hotspot - Mozartplatz,http://www.salzburg-surft.at/hotspot-locations/mozartplatz/,Aufstelljahr: 2012
wlanhotspot.gisdb.21127,gisdb.21127,POINT (47.80040727226709 13.044893879702833),Salzburg surft Hotspot - Rathaus,http://www.salzburg-surft.at/hotspot-locations/rathaus-salzburg/,Aufstelljahr: 2012
wlanhotspot.gisdb.21128,gisdb.21128,POINT (47.813591021619935 13.027612786249824),Salzburg surft Hotspot - Stadt:Bibliothek Salzburg,http://www.salzburg-surft.at/hotspot-locations/stadtbibliothek-salzburg/,Aufstelljahr: 2012
wlanhotspot.gisdb.21129,gisdb.21129,POINT (47.79643460980809 13.060197478354686),Salzburg surft Hotspot - Volksgarten,http://www.salzburg-surft.at/hotspot-locations/volksgarten/,Aufstelljahr: 2012
wlanhotspot.gisdb.21130,gisdb.21130,POINT (47.76281638251832 13.060395900792235),Salzburg surft Hotspot - Hellbrunn Wasserspiele Kassa,,Aufstelljahr: 2013
wlanhotspot.gisdb.21131,gisdb.21131,POINT (47.76284883856024 13.065363326629926),Salzburg surft Hotspot - Hellbrunn Spielplatz/Park,,Aufstelljahr: 2013
wlanhotspot.gisdb.21132,gisdb.21132,POINT (47.82262505699751 13.04107044930563),Salzburg surft Hotspot - CoWorkingSpace Salzburg,http://www.salzburg-surft.at/hotspot-locations/coworking-space-salzburg/,Aufstelljahr: 2012
